Name,SAMPLE CUSTOMER
Address,"123 Industrial Way, San Diego, CA"
Account Number,1234567890
Service,Electric

Meter Number,Date,Start Time,Duration,Consumption,Generation,Net
05551234,1/1/2025,0:00,15,30.4550,0,30.4550
05551234,1/1/2025,0:15,15,31.5861,0,31.5861
05551234,1/1/2025,0:30,15,28.5367,0,28.5367
05551234,1/1/2025,0:45,15,28.9795,0,28.9795
05551234,1/1/2025,1:00,15,31.6446,0,31.6446
05551234,1/1/2025,1:15,15,28.8747,0,28.8747
05551234,1/1/2025,1:30,15,31.1058,0,31.1058
05551234,1/1/2025,1:45,15,28.6376,0,28.6376
05551234,1/1/2025,2:00,15,30.8398,0,30.8398
05551234,1/1/2025,2:15,15,27.7673,0,27.7673
05551234,1/1/2025,2:30,15,31.5180,0,31.5180
05551234,1/1/2025,2:45,15,30.4155,0,30.4155
05551234,1/1/2025,3:00,15,28.9513,0,28.9513
05551234,1/1/2025,3:15,15,28.5856,0,28.5856
05551234,1/1/2025,3:30,15,30.1365,0,30.1365
05551234,1/1/2025,3:45,15,28.5285,0,28.5285
05551234,1/1/2025,4:00,15,29.9448,0,29.9448
05551234,1/1/2025,4:15,15,29.1876,0,29.1876
05551234,1/1/2025,4:30,15,27.9185,0,27.9185
05551234,1/1/2025,4:45,15,30.2547,0,30.2547
05551234,1/1/2025,5:00,15,28.8533,0,28.8533
05551234,1/1/2025,5:15,15,28.6928,0,28.6928
05551234,1/1/2025,5:30,15,31.0738,0,31.0738
05551234,1/1/2025,5:45,15,40.8693,0,40.8693
05551234,1/1/2025,6:00,15,50.6956,0,50.6956
05551234,1/1/2025,6:15,15,60.5861,0,60.5861
05551234,1/1/2025,6:30,15,74.1468,0,74.1468
05551234,1/1/2025,6:45,15,86.0919,0,86.0919
05551234,1/1/2025,7:00,15,96.9968,0,96.9968
05551234,1/1/2025,7:15,15,96.9903,0,96.9903
05551234,1/1/2025,7:30,15,93.2492,0,93.2492
05551234,1/1/2025,7:45,15,94.3720,0,94.3720
05551234,1/1/2025,8:00,15,95.5036,0,95.5036
05551234,1/1/2025,8:15,15,93.0991,0,93.0991
05551234,1/1/2025,8:30,15,96.9569,0,96.9569
05551234,1/1/2025,8:45,15,95.9296,0,95.9296
05551234,1/1/2025,9:00,15,95.0914,0,95.0914
05551234,1/1/2025,9:15,15,93.2927,0,93.2927
05551234,1/1/2025,9:30,15,95.2826,0,95.2826
05551234,1/1/2025,9:45,15,94.7030,0,94.7030
05551234,1/1/2025,10:00,15,94.2663,0,94.2663
05551234,1/1/2025,10:15,15,94.2033,0,94.2033
05551234,1/1/2025,10:30,15,94.0784,0,94.0784
05551234,1/1/2025,10:45,15,96.5441,0,96.5441
05551234,1/1/2025,11:00,15,97.2231,0,97.2231
05551234,1/1/2025,11:15,15,94.6935,0,94.6935
05551234,1/1/2025,11:30,15,94.0817,0,94.0817
05551234,1/1/2025,11:45,15,95.8852,0,95.8852
05551234,1/1/2025,12:00,15,96.2867,0,96.2867
05551234,1/1/2025,12:15,15,93.1714,0,93.1714
05551234,1/1/2025,12:30,15,96.4488,0,96.4488
05551234,1/1/2025,12:45,15,97.1274,0,97.1274
05551234,1/1/2025,13:00,15,95.9424,0,95.9424
05551234,1/1/2025,13:15,15,93.7543,0,93.7543
05551234,1/1/2025,13:30,15,93.4855,0,93.4855
05551234,1/1/2025,13:45,15,94.2617,0,94.2617
05551234,1/1/2025,14:00,15,95.5801,0,95.5801
05551234,1/1/2025,14:15,15,94.2187,0,94.2187
05551234,1/1/2025,14:30,15,94.5183,0,94.5183
05551234,1/1/2025,14:45,15,96.6367,0,96.6367
05551234,1/1/2025,15:00,15,92.7929,0,92.7929
05551234,1/1/2025,15:15,15,95.6087,0,95.6087
05551234,1/1/2025,15:30,15,96.8367,0,96.8367
05551234,1/1/2025,15:45,15,95.4677,0,95.4677
05551234,1/1/2025,16:00,15,93.5781,0,93.5781
05551234,1/1/2025,16:15,15,95.9250,0,95.9250
05551234,1/1/2025,16:30,15,94.0617,0,94.0617
